,name,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,total_epa,completions per game,attempts per game,passing_yards per game,passing_tds per game,interceptions per game,sacks per game,sack_yards per game,sack_fumbles per game,sack_fumbles_lost per game,passing_air_yards per game,passing_yards_after_catch per game,passing_first_downs per game,passing_epa per game,passing_2pt_conversions per game,pacr per game,dakota per game,carries per game,rushing_yards per game,rushing_tds per game,rushing_fumbles per game,rushing_fumbles_lost per game,rushing_first_downs per game,rushing_epa per game,rushing_2pt_conversions per game,receptions per game,targets per game,receiving_yards per game,receiving_tds per game,receiving_fumbles per game,receiving_fumbles_lost per game,receiving_air_yards per game,receiving_yards_after_catch per game,receiving_first_downs per game,receiving_epa per game,receiving_2pt_conversions per game,racr per game,air_yards_share per game,wopr_x per game,special_teams_tds per game,fantasy_points per game,fantasy_points_ppr per game,tgt_sh per game,wopr_y per game,dom per game,w8dom per game,yptmpa per game,total_epa per game
0,Tom Brady,485,719,5316.0,43,12.0,22.0,144.0,3,2,5821.0,2534.0,269.0,145.715,0,15.932,2.46,28,81.0,2,1.0,1.0,14.0,3.85,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,374.74,374.74,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196,149.565,28.529411764705884,42.294117647058826,312.70588235294116,2.5294117647058822,0.7058823529411765,1.2941176470588236,8.470588235294118,0.17647058823529413,0.11764705882352941,342.4117647058824,149.05882352941177,15.823529411764707,8.571470588235295,0.0,0.9371764705882353,0.14470588235294118,1.6470588235294117,4.764705882352941,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.8235294117647058,0.22647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.043529411764705,22.043529411764705,0.0,0.0,0.0,0.0,0.0,8.797941176470587
1,Ben Roethlisberger,390,605,3740.0,22,10.0,38.0,239.0,11,5,4055.0,1932.0,188.0,-44.583,2,15.447,0.936,20,5.0,1,0.0,0.0,3.0,-1.979,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,218.1,218.1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,-46.562,24.375,37.8125,233.75,1.375,0.625,2.375,14.9375,0.6875,0.3125,253.4375,120.75,11.75,-2.7864375,0.125,0.9654375,0.0585,1.25,0.3125,0.0625,0.0,0.0,0.1875,-0.1236875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.63125,13.63125,0.0,0.0,0.0,0.0,0.0,-2.910125
2,Aaron Rodgers,366,531,4115.0,37,4.0,30.0,188.0,1,0,4078.0,2189.0,213.0,129.766,0,16.84,2.847,33,101.0,3,2.0,0.0,10.0,5.831,0,1,1,-4.0,0,0.0,0.0,-4.0,0.0,0.0,-1.243,0,0.0,0.032,-0.011,0.04,0.0,332.3,333.3,16,0.002,-0.001,0.0,0.002,-0.001,0.0,0.0,0.0,-0.0,-0.001,-0.007,0.207,135.59699999999998,22.875,33.1875,257.1875,2.3125,0.25,1.875,11.75,0.0625,0.0,254.875,136.8125,13.3125,8.110375,0.0,1.0525,0.1779375,2.0625,6.3125,0.1875,0.125,0.0,0.625,0.3644375,0.0,0.0625,0.0625,-0.25,0.0,0.0,0.0,-0.25,0.0,0.0,-0.0776875,0.0,0.0,-0.0006875,0.0025,0.0,20.76875,20.83125,0.000125,0.000125,-0.0,-6.25e-05,-0.0004375,8.474812499999999
3,Matt Ryan,375,560,3968.0,20,12.0,40.0,274.0,5,3,4001.0,1721.0,195.0,8.225,0,17.921,1.646,40,82.0,1,5.0,1.0,9.0,-18.902,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,222.92,222.92,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172,-10.677000000000001,22.058823529411764,32.94117647058823,233.41176470588235,1.1764705882352942,0.7058823529411765,2.3529411764705883,16.11764705882353,0.29411764705882354,0.17647058823529413,235.35294117647058,101.23529411764706,11.470588235294118,0.4838235294117647,0.0,1.0541764705882353,0.0968235294117647,2.3529411764705883,4.823529411764706,0.058823529411764705,0.29411764705882354,0.058823529411764705,0.5294117647058824,-1.1118823529411765,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.112941176470587,13.112941176470587,0.0,0.0,0.0,0.0,0.0,-0.6280588235294119
4,Joe Flacco,27,42,338.0,3,0.0,2.0,13.0,1,1,336.0,175.0,14.0,6.294,0,2.47,0.084,2,3.0,0,0.0,0.0,1.0,0.167,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,23.82,23.82,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,6.460999999999999,13.5,21.0,169.0,1.5,0.0,1.0,6.5,0.5,0.5,168.0,87.5,7.0,3.147,0.0,1.235,0.042,1.0,1.5,0.0,0.0,0.0,0.5,0.0835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.91,11.91,0.0,0.0,0.0,0.0,0.0,3.2304999999999997
5,Chad Henne,11,16,82.0,0,0.0,0.0,0.0,0,0,125.0,24.0,6.0,4.048,0,0.656,0.146,8,0.0,0,2.0,0.0,0.0,-1.987,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.28,3.28,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,2.061,2.75,4.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,31.25,6.0,1.5,1.012,0.0,0.164,0.0365,2.0,0.0,0.0,0.5,0.0,0.0,-0.49675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.82,0.0,0.0,0.0,0.0,0.0,0.51525
6,Josh Johnson,57,85,638.0,5,2.0,3.0,23.0,0,0,620.0,283.0,39.0,27.387,0,4.867,0.316,9,28.0,0,2.0,0.0,1.0,-3.191,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46.32,46.32,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,24.196,14.25,21.25,159.5,1.25,0.5,0.75,5.75,0.0,0.0,155.0,70.75,9.75,6.84675,0.0,1.21675,0.079,2.25,7.0,0.0,0.5,0.0,0.25,-0.79775,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.58,11.58,0.0,0.0,0.0,0.0,0.0,6.049
7,Matthew Stafford,404,601,4886.0,41,17.0,30.0,243.0,4,2,5094.0,2124.0,233.0,116.436,2,17.106,2.437,32,43.0,0,1.0,0.0,8.0,-1.902,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,329.74,329.74,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,114.534,23.764705882352942,35.35294117647059,287.4117647058824,2.411764705882353,1.0,1.7647058823529411,14.294117647058824,0.23529411764705882,0.11764705882352941,299.6470588235294,124.94117647058823,13.705882352941176,6.849176470588236,0.11764705882352941,1.0062352941176471,0.14335294117647057,1.8823529411764706,2.5294117647058822,0.0,0.058823529411764705,0.0,0.47058823529411764,-0.11188235294117646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.396470588235296,19.396470588235296,0.0,0.0,0.0,0.0,0.0,6.7372941176470595
8,Brian Hoyer,9,11,227.0,1,0.0,0.0,0.0,0,0,97.0,143.0,8.0,20.877,0,9.668,0.0,11,-8.0,0,0.0,0.0,1.0,-4.049,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12.28,12.28,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,16.828,1.8,2.2,45.4,0.2,0.0,0.0,0.0,0.0,0.0,19.4,28.6,1.6,4.1754,0.0,1.9335999999999998,0.0,2.2,-1.6,0.0,0.0,0.0,0.2,-0.8098000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.456,2.456,0.0,0.0,0.0,0.0,0.0,3.3655999999999997
9,Colt McCoy,74,99,740.0,3,1.0,6.0,40.0,3,1,512.0,452.0,39.0,14.313,0,6.508,0.47,22,37.0,0,1.0,0.0,6.0,-12.586,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,41.3,41.3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.7270000000000003,10.571428571428571,14.142857142857142,105.71428571428571,0.42857142857142855,0.14285714285714285,0.8571428571428571,5.714285714285714,0.42857142857142855,0.14285714285714285,73.14285714285714,64.57142857142857,5.571428571428571,2.044714285714286,0.0,0.9297142857142857,0.06714285714285714,3.142857142857143,5.285714285714286,0.0,0.14285714285714285,0.0,0.8571428571428571,-1.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8999999999999995,5.8999999999999995,0.0,0.0,0.0,0.0,0.0,0.24671428571428575
10,Cam Newton,69,126,684.0,4,5.0,10.0,83.0,0,0,878.0,309.0,32.0,-40.781,1,5.37,-0.163,47,230.0,5,4.0,1.0,20.0,2.712,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,86.36,86.36,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181,-38.068999999999996,9.857142857142858,18.0,97.71428571428571,0.5714285714285714,0.7142857142857143,1.4285714285714286,11.857142857142858,0.0,0.0,125.42857142857143,44.142857142857146,4.571428571428571,-5.825857142857143,0.14285714285714285,0.7671428571428571,-0.023285714285714288,6.714285714285714,32.857142857142854,0.7142857142857143,0.5714285714285714,0.14285714285714285,2.857142857142857,0.38742857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.337142857142856,12.337142857142856,0.0,0.0,0.0,0.0,0.0,-5.438428571428571
11,Blaine Gabbert,7,11,67.0,0,0.0,1.0,10.0,0,0,90.0,39.0,4.0,0.192,0,5.44,0.0,9,-7.0,0,0.0,0.0,0.0,-14.471,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.98,1.98,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,-14.279,1.1666666666666667,1.8333333333333333,11.166666666666666,0.0,0.0,0.16666666666666666,1.6666666666666667,0.0,0.0,15.0,6.5,0.6666666666666666,0.032,0.0,0.9066666666666667,0.0,1.5,-1.1666666666666667,0.0,0.0,0.0,0.0,-2.4118333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,-2.3798333333333335
12,Andy Dalton,149,236,1515.0,8,9.0,18.0,143.0,1,1,1643.0,752.0,83.0,-31.213,2,8.756,0.474,16,76.0,0,0.0,0.0,2.0,-0.761,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,84.2,84.2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137,-31.974,18.625,29.5,189.375,1.0,1.125,2.25,17.875,0.125,0.125,205.375,94.0,10.375,-3.901625,0.25,1.0945,0.05925,2.0,9.5,0.0,0.0,0.0,0.25,-0.095125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.525,10.525,0.0,0.0,0.0,0.0,0.0,-3.99675
